id,gender,age,location,children_in_house,highest_qualification,employment,housework_week,interest_sustainability,sustainability_daily_think,primary_driver_sustainable_activities,insterest_sustainability_origin,sustainability_important,sustainability_barrier,energy_action,energy_action_often,energy_action_comment,water_action,water_action_often,water_action_comment,food_action,food_action_often,food_action_comment,waste_action,waste_action_often,waste_action_comment,other_action,other_action_often,other_action_comment,gender_thoughts
17,Female,30-39,"Edinburgh, UK",0,Post-graduate degree,"Employed, working full-time",1-3 hours,Yes,Often,"Yes, I encourage the other members of my house to be more sustainable in their actions.",Uni dissertation ,energy food ,Difficult consumer decisions ,DEFGH,All the time,I don't have a thermostat but rarely use the heating anyway and also don't have a dishwasher ,GH,Often,NA,BCD,Often,NA,ABDEFG,All the time,NA,BC,All the time,NA,NA
18,Female,40-49,"Wilmington, NC",1,Bachelor degree,"Employed, working full-time",4-6 hours,Yes,Often,"Yes, I encourage the other members of my house to be more sustainable in their actions.",Concern over the amount of waste in landfills.,Recycling/limiting disposable waste and energy consumption.,"Financial--I would love to have personal sustainable energy sources, but solar panels and wind turbines are cost prohibitive. Also, we either have to pay to have our recycling picked up or drive it to a recycling center, which we do, but it seems so counter productive.",ABDEF,All the time,NA,ABGH,Often,NA,D,All the time,NA,ACDEFG,All the time,NA,AB,All the time,NA,I think I spearhead the sustainability in my home because I am the main shopper.
19,Male,30-39,"Edinburgh, UK",0,Bachelor degree,"Employed, working full-time",Less than 1 hour,Somewhat,Never,"No, my partner and I are equally involved in sustainable activities",Care of environment,Pollution,Access to recycling living in the city centre,BDEFGH,All the time,It's become routine,NA,Never,Never thought of it,BCD,Often,It's become habitual,DF,Sometimes,NA,AC,Rarely,NA,I think gender has no impact
20,Female,60+,"Leland, NC",0,Associates degree,"Employed, working full-time",7-10 hours,Yes,Often,"Yes, I encourage the other members of my house to be more sustainable in their actions.",Future generations ,All types,Resources,EFG,Often,NA,BH,Sometimes,NA,BD,All the time,NA,ABDE,Often,NA,AC,All the time,NA,NA
21,Male,30-39,"Inverness, UK",1,Post-graduate degree,"Employed, working full-time",4-6 hours,Yes,Sometimes,"Yes, I encourage the other members of my house to be more sustainable in their actions.",Environmental job,"Food, energy, waste ",Cost,BCDGH,Sometimes,NA,NA,Sometimes,NA,CD,Sometimes,NA,ABCDEF,Often,NA,AB,Often,NA,I don't think gender affects sustainability for me
22,Male,21-29,"Clackmannan, UK",0,Post-graduate degree,"Employed, working full-time",4-6 hours,Yes,All the time,"Yes, I encourage the other members of my house to be more sustainable in their actions.","2050, and my engineering degree",All,"I love holidays, and it is difficult to go far without flying",BDF,All the time,NA,ABEGH,All the time,NA,BCD,All the time,NA,ABDEF,All the time,NA,BC,All the time,NA,"In my house it is simply the person that's more engaged (me), rather than it being a gender thing in my opinion. I do feel that being sustainable etc is not considered to be particularly""manly"" though.. there is definitely a public perception thing going on"
23,Female,21-29,"Durham, NC",0,Associates degree,"Employed, working full-time",1-3 hours,Yes,Sometimes,"Yes, I encourage the other members of my house to be more sustainable in their actions.",Because it's a better all around option,I think overall we need to be more sustainable in everything we do but I work in the food service industry so being sustainable in the way we consume food is a top priority of mine,It's not as accessible for me. I don't have a lot of time off to actually spend trying to make my home more sustainable. My apartment complex does not have a recycling option (meaning I have to drive 30 mins to recycle anything) I live with two men in their mid twenties- they don't often help but they always say that will and then forget. ,BCDEFGH,All the time,I live in an apartment so solar power and insultation type things aren't something I can do but I try to consciously choose to be as energy efficient as I can,BEFGH,Often,Water is one of my less sustainably used resources- I like long showers and baths... but other than in the kitchen and bathroom we don't use a lot of water. Also I'm not sure what a water hippo for the toilet is but we have low flow toilets that don't use a lot of water at all so I clicked that one cause it seemed similar..,BCD,All the time,Two of my household members work in the food industry and (at least in the places we work) it is required to be sustainable. I don't grow food currently but I did at my last address and plan to again when I'm back in a house with a yard. Also I don't know if this counts but at work we donate all leftovers from the night to homeless shelters to reduce the amount that actually gets thrown away.,ABCDE,Often,Pretty much everything I buy is on sale(food) or pre-owned(non food things). Even though we have to drive across town to recycle we throw usually two or three bags of recycleables in the bed of my truck until we are able to make the trip. ,AC,Often,NA,I don't really think gender has anything to do with it in my house at least. That's just lazy roommates more than anything. But overall I notice my female friends are more sustainable than my male friends- they make more conscious efforts to do as much as they can and not take it all for granted.
24,Female,50-59,"Preston, UK",0,Post-graduate degree,"Employed, working full-time",4-6 hours,Yes,Sometimes,"Yes, I encourage the other members of my house to be more sustainable in their actions.",The environment,Energy. Waste, Packaging which isn't recyclable,BDFGH,Often,NA,A,Sometimes,NA,D,Sometimes,NA,DEF,Sometimes,NA,NA,Never,NA,NA
25,Female,21-29,"Edinburgh, UK",0,Post-graduate degree,Student,4-6 hours,Yes,Often,"Yes, I encourage the other members of my house to be more sustainable in their actions.",The threat of climate change.,Waste and food waste.,Lack of concern from other flat mates.,BCDE,Often,NA,BEG,Sometimes,NA,D,Sometimes,NA,ABCDEFG,All the time,NA,ABC,Sometimes,NA,"In my home, gender doesn't seem to have an effect on sustainability. "
26,Male,21-29,"Edinburgh, UK ",0,Some university but no degree,Student,Less than 1 hour,No,Sometimes,NA,NA,NA,NA,ABDEGH,Sometimes,NA,AB,Sometimes,NA,D,Often,NA,AEF,Rarely,NA,B,Rarely,NA,NA
27,Female,40-49,"Wilmington, NC",1,Bachelor degree,"Employed, working full-time",1-3 hours,Yes,Sometimes,"No, my partner and I are equally involved in sustainable activities",General knowledge of caring for our environment and earth.,"Waste, water",Time,BCDEGH,All the time,Being conscious of and thrifty with energy usuage,ABH,Often,NA,CD,Often,NA,ACDEFG,Often,NA,B,Sometimes,NA,I think we are equally conscious of most of these activities.  I  think if there is any difference it's due to age because this is more prevalent in younger generations.
28,Male,30-39,"Glasgow, UK",0,Post-graduate degree,"Employed, working full-time",1-3 hours,Yes,Rarely,"Yes, I encourage the other members of my house to be more sustainable in their actions.",Work,Energy,Laziness,BDGH,All the time,NA,B,Never,NA,NA,Never,NA,ABDEF,Often,NA,A,Rarely,NA,"Gender notbreally an underlying factor, rather driven by interest"
29,Female,21-29,"Edinburgh, UK",0,Bachelor degree,Student,4-6 hours,Yes,Sometimes,"Yes, I encourage the other members of my house to be more sustainable in their actions.",Studies and general knowledge,Transport,Lack of money,BCDEFGH,Often,Our heating reductions are solely driven by high energy prices and a wish to save money,NA,Often,NA,NA,Sometimes,NA,ADEF,Sometimes,Most of us encourage each other to perform these actions,NA,Never,NA,NA
30,Female,21-29,"Boston, MA",0,Bachelor degree,Student,1-3 hours,Yes,Sometimes,"Yes, I encourage the other members of my house to be more sustainable in their actions.",Living in a drought ,"Water, waste ",Convenience,G,Sometimes,NA,AB,Often,NA,NA,Never,NA,CDEF,Sometimes,NA,NA,Never,NA,NA
31,Female,21-29,"Edinburgh, UK",0,Bachelor degree,"Employed, working part-time",4-6 hours,Yes,Sometimes,"Yes, I encourage the other members of my house to be more sustainable in their actions.",I'm interested in Environmental Sciences - so sustainable to help the environment,Energy,Time constraints and unavailability of food waste and compost bins on the property/in the neighbourhood,EGH,All the time,NA,ADFG,All the time,NA,ABCD,All the time,NA,ACDEG,Often,NA,AB,Often,NA,NA
32,Male,40-49,"Peebles, UK",2,Post-graduate degree,"Employed, working full-time",1-3 hours,Yes,Sometimes,"No, my partner is the primary driver of sustainable activities",General awareness of our wastefulness,Energy,Having children,BDEFG,All the time,The things indicated we do all the time but cannot afford to further insulate our home.,ABEH,Often,NA,ABCD,Often,NA,ABCDE,Often,NA,ABC,All the time,NA,NA
33,Female,40-49,"Denver, NC",0,Bachelor degree,Student,4-6 hours,Yes,Often,"Yes, I encourage the other members of my house to be more sustainable in their actions.",Every effort matters for the preservation of our world,"Food, water, waste, energy",More time,ABDEFGH,All the time,These are easy common sense measures to save energy.,ABE,All the time,Too often we take our water for granted- we should be mindful and not abuse our good fortune.,BCD,All the time,Food waste is one of the biggest waste in our country. More people should take initiatives to try harder.,ACDEFG,All the time,Landfills and centers are too plentiful. Recycling is so easy- there is no excuse for not participating.,AB,All the time,I love buying fair trade items but I'm lousy at growing house plants.,I normally instigate the sustainability efforts but we participate as a family.
34,Female,60+,"Wilmington, NC ",0,Post-graduate degree,Retired,4-6 hours,Yes,Often,"No, my partner and I are equally involved in sustainable activities",Destruction by humans of mother earth,Water food waste energy,Apathy of humans,BDFGH,Sometimes,NA,ABEFGH,Sometimes,NA,ABC,Sometimes,NA,ABEFG,Sometimes,NA,ABC,Sometimes,NA,NA
35,Female,30-39,"Fairview, NC",0,Bachelor degree,"Employed, working part-time",7-10 hours,Yes,Often,"No, my partner and I are equally involved in sustainable activities",Realization that the health of the earth directly affects all beings and we as humans have a huge part in that health.,"Energy- electricity and fuel for vehicles, food-local, water- use and cleanliness",Community infrastructure and general population human unwillingness,BCDEFG,All the time," Combine multiple errands in a trip to town, turn off lights when not in a room, strategically plan our heating source based on the weather, ",ABCH,Often,NA,ABC,All the time,"We girl a lot of her own food, medicine, and art supplies in the garden. We support local farmers for other food, vegetables and meat. We have bees for honey and to help with pollination.",ABCDEFG,Often,"The biggest struggle with the waste is everything is wrapped in plastic. Sometimes I think about if I didn't buy anything in a plastic wrapper, how much would I actually use or eat or have.",ABC,Often,NA," I don't associate gender with sustainability. As a graduate of a appropriate technology and sustainability program, I definitely saw both genders in the mix. I think it's more about lifestyle and perceived needs and societal pressureS for consumption that aggect sustsinabilty.  I also think fear of the unknown or changing one's way of life is also a reason that people are not more sustainable. "
36,Male,40-49,"Leland, NC",0,Bachelor degree,"Employed, working full-time",7-10 hours,Yes,Often,"Yes, I encourage the other members of my house to be more sustainable in their actions.",The culture of replace vs repair and the waste that represents.,Natural resource,Convenience of performing actions - extraordinary effort required.,ABCEH,Often,Thermostats are programmed based on occupancy and activity to maximize the use of the HVAC system.,BGH,Sometimes,NA,AD,Sometimes,We harvest eggs from our chickens.,ABDE,All the time,We are adamant recyclers. We produce about 5-6x more recyclable waste than what goes in the bin. Food waste either goes to the chickens or compost. ,B,Sometimes,NA,NA
37,Male,21-29,"Edinburgh, UK",0,Bachelor degree,"Employed, working part-time",4-6 hours,Yes,Sometimes,"Yes, I encourage the other members of my house to be more sustainable in their actions.",West control course ,Energy food waste water and all other resources ,Thesre are no barriers stopping myself or anyone else from acting sustainably ,ABH,All the time,NA,ADH,Often,NA,ABCD,All the time,NA,ABCDEFG,Often,NA,ABC,Often,NA,NA
38,Female,30-39,"Atlanta, GA",1,Post-graduate degree,"Employed, working full-time",7-10 hours,Yes,Often,"No, my partner and I are equally involved in sustainable activities",My parents ,Waste and food,Time ,ABCG,All the time,NA,BDEG,All the time,NA,BCD,All the time,NA,ADEFG,All the time,NA,ABC,Often,NA,NA
39,Female,50-59,"Monroe, NC",0,Some university but no degree,"Not employed, NOT looking for work",4-6 hours,Yes,Often,"No, my partner and I are equally involved in sustainable activities",I hate waste,Energy,First world sensibilities,BCDGH,Often,"Heat pump, design of geodesic dome contributes to efficient conservation of energy",ABEG,Sometimes,"We have a well and we recycle liquids from canned goods to water indoor plants, don't take showers every day",BCD,Sometimes,"We never waste food because my husband eats everything or composts inedibles (bones, rinds, coffee grounds, etc.)",ABCDE,Often,"We use paper bags instead of plastic, reuse containers packaged foods came in, recycle plastic, glass, metal and paper",BC,Often,"We have many plants indoors
","Not really, we are pretty equally committed "
40,Female,21-29,"Edinburgh, UK",0,Post-graduate degree,Student,4-6 hours,Yes,Sometimes,"No, my partner and I are equally involved in sustainable activities",The environment and cost,Energy and food,Living in a flat,BCDEGH,All the time,NA,AH,Often,NA,ACD,All the time,NA,ABCDEFG,All the time,NA,BC,All the time,NA,It doesn't
41,Female,21-29,"Edinburgh, UK",0,Bachelor degree,Student,4-6 hours,Yes,Often,"Yes, I encourage the other members of my house to be more sustainable in their actions.","The importance of the environment, protecting nature","Food, animal treatment, wild areas","Packaging, especially as organic products only seem to be available in packaging and not any close local markets.",BDEFG,Often,"I always follow these, but have given up insisting about unplugging electronics because they only try to reason they don't use much energy.",AG,Often,I choose these things but don't push my housemates to adopt similar habits.,BCD,Often,"I can't always afford organic. I don't push my housemates in changing food habits, but I remind them that I will make use of their leftovers.",AEFG,Often,"I try to consistently do these, but don't push housemates. Only occasionally comment about recycling  generally.",ABC,Often,"The flat already had houseplants, I have offered and continue to top up washing up liquid from a zero-waste shop.",I'm not sure it is gender-affected. But I do feel uncomfortable encouraging the others to change their ways as they get easily stressed/are set in their ways.
42,Female,21-29,"Edinburgh, UK",0,Bachelor degree,"Employed, working full-time",4-6 hours,Yes,Often,"No, my partner is the primary driver of sustainable activities",Global warming and climate change,Recycling and waste,Eating too much!,DEFG,Often,We only hang dry our clothes and only wash dishes when we have a load to do.,G,Rarely,NA,D,Sometimes,NA,ACDEF,Sometimes,We are big fans of recycling. ,NA,Never,NA,My husband is the instigator of our sustainable choices.
43,Male,21-29,"Dunkeld, UK",0,Bachelor degree,"Employed, working part-time",1-3 hours,Yes,All the time,"Yes, I encourage the other members of my house to be more sustainable in their actions.",An increased awareness of the impact that humans are having on the planet; my ability to change my own life for the better; the desire to see a better world.,"Food, transport, waste",Gas and electricity (I am not the person who pays the bills),DE,Sometimes,NA,BGH,Sometimes,NA,BCD,Sometimes,NA,ABCDEFG,Often,NA,ABC,Sometimes,NA,NA
44,Female,21-29,"Huntingdon, UK",0,Bachelor degree,"Employed, working full-time",7-10 hours,Yes,Sometimes,"No, my partner and I are equally involved in sustainable activities",Understanding of climate change,"Energy, food, recycling",Where I live,BCDEFGH,All the time,NA,AH,Sometimes,Would like to be able to do more but live in rented property,AD,Often,NA,ADE,Often,Would like more products with less packaging to be available,BC,Sometimes,NA,NA
45,Female,30-39,"Asheville, NC",1,Post-graduate degree,"Employed, working part-time",10+ hours,Yes,Rarely,"No, my partner and I are equally involved in sustainable activities",My family,"Waste, independence, economic benefits ",Time,DEFG,All the time,NA,ABCG,All the time,NA,ABC,All the time,NA,ABCDEF,All the time,NA,C,All the time,NA,"No, it is irrelevant for us"
46,Male,30-39,"Edinburgh, UK",0,Post-graduate degree,"Employed, working full-time",4-6 hours,Yes,All the time,"No, my partner and I are equally involved in sustainable activities",Socialism ,Complete view. Keen on  permaculture.,Capitalism ,BCEFGH,All the time,NA,ABCDEFGH,All the time,NA,ABCD,All the time,NA,ABCDEFG,All the time,NA,ABC,All the time,NA,Domestic division of labour
47,Female,30-39,"Asheville, NC",1,Bachelor degree,"Employed, working part-time",10+ hours,Yes,Sometimes,"Yes, I encourage the other members of my house to be more sustainable in their actions.",Moral obligation,Waste/energy,Convenience/Time,ABCDEFGH,Often,NA,CH,Sometimes,NA,C,Rarely,NA,ACDEFG,Often,NA,AB,Sometimes,NA,NA
48,Male,21-29,"Grantown on Spey, UK",0,Bachelor degree,"Employed, working full-time",1-3 hours,Yes,Often,"Yes, I encourage the other members of my house to be more sustainable in their actions.",Grave concern with climate change,All aspects equally important,"Partner's lack of concern, and the location that I live in.",BCDFH,Often,.,A,Often,.,BCD,Often,.,ACDEG,Sometimes,.,AB,Sometimes,.,"I think gender has zero influence on sustainability in the household. A person's values dictate whether they care about sustainability, and someone's values are not decided by their gender."
49,Female,21-29,"Renfrew, UK",0,Bachelor degree,"Employed, working full-time",7-10 hours,Yes,Sometimes,"Yes, I encourage the other members of my house to be more sustainable in their actions.",Science,Energy,Increased financial cost of making some sustainable changes,BDEF,All the time,I am more interested in sustainability than my partner,ABE,Often,as before,BD,Often,As before,CDEF,Often,As before,BC,Often,As before,NA
50,Female,21-29,France,0,Bachelor degree,Student,1-3 hours,Yes,All the time,"No, my partner and I are equally involved in sustainable activities",I'm vegan and even before that I loved earth. ,"Food waste, water, energy and recycling.",Lack of organisation and laziness which I'm winning against  ,BCDGH,All the time,"I don't let anything ""en veille"" and i shut the lights when leaving a room.",AEG,All the time,I'm vegan so through what I eat and wear I'm reducing my impact. Also I take really short showers. ,CD,All the time,Uh I'm vegan just in case I didn't say it enough.,ACDEG,All the time,NA,NA,All the time,NA,Nope
51,Female,21-29,"Edinburgh, UK",0,Post-graduate degree,Student,4-6 hours,Yes,Often,"No, my partner and I are equally involved in sustainable activities",Caring about the planet.,"Food, energy, waste",Lack of time,BEF,Often,NA,AG,Often,NA,ABCD,Often,NA,ACDEFG,All the time,NA,ABC,All the time,NA,NA
52,Male,21-29,"Edinburgh, UK",0,Bachelor degree,Student,4-6 hours,Yes,Often,"Yes, I encourage the other members of my house to be more sustainable in their actions.",Care for the planet. sheer horror at the way the planet is being destroyed,Environmental sustainability that is also socially sustainable,"Economics and to an extent, time (or the trade-off between the two)",BCDEG,All the time,I have adopted all the above as they are easy and quick wins. I am happy to pay slightly more for 100% renewable energy,FG,All the time,"It is difficult to enact most of the options above if you are only renting, do not own a garden and are situated on the third floor",BD,All the time,Again access to growing space is limited. Organic food is significantly more expensive as well!,ABCDEFG,All the time,"Where possible I try to avoid waste, especially plastics",AC,Often,"Sustainable items are really hard to actually know if they are truly sustainable. I suspect where a product is cheap and ""sustainable"" then there has been a corner cut somewhere else. E.g. someones liberties.",In my household it does not affect things (as far as I am aware) we both take the same actions and have the same motivations and constraints
53,Female,30-39,"Bury St. Edmunds, UK",2,Post-graduate degree,"Not employed, NOT looking for work",10+ hours,Yes,Often,"Yes, I encourage the other members of my house to be more sustainable in their actions.",I want the earth to remain habitable. ,"Energy, ozone health, endangered species, landfills, clean water",Disposable plastic is so hard to avoid. Also cost. ,ABDEFG,All the time,NA,B,All the time,NA,C,Often,NA,ACDEF,All the time,NA,AB,All the time,NA,"I'm the stay at home parent and primary homemaker, so most decisions re: running of our household are mine. "
54,Female,30-39,"Richmond, VA",2,Bachelor degree,"Employed, working full-time",7-10 hours,Somewhat,Sometimes,"Yes, I encourage the other members of my house to be more sustainable in their actions.",Recycling club in middle school,"Water, waste",Cost and availability (no recycling in my county),ABEGH,Often,NA,AB,Often,NA,D,Often,NA,BCDEF,Often,NA,NA,Sometimes,NA,NA
55,Female,21-29,"Edinburgh, UK",0,Post-graduate degree,"Employed, working full-time",4-6 hours,Yes,Sometimes,"Yes, I encourage the other members of my house to be more sustainable in their actions.",Trying to make sure there's an earth to live on,"Energy, biological food, no excessive food waste","Money (biological buying is expensive), difficult to recycle (accessibility as well as vague about what should and shouldn't go in the same bin)",BCDEGH,Often,NA,G,All the time,"In a rented flat it isn't possible to insulate, change shower heads, install a dishwasher, etc",ABCD,All the time,Try as much as money allows,ADEG,Often,"Would do more, but eg no bin for food waste available",BC,Often,NA,"I don't believe gender is the main difference. What makes a difference in our household is working hours, what time people come home, etc. If he eats at work, I am the only one prepping eco-friendly dinner. That is based on work, not gender. I have told him about washing at lower temperatures and he now does so as well, etc."
